n	partition(n)	runtime
85	30167357	1.541e-06
86	34262962	1.5e-06
87	38887673	1.541e-06
88	44108109	1.458e-06
89	49995925	1.625e-06
90	56634173	1.584e-06
91	64112359	1.584e-06
92	72533807	1.583e-06
93	82010177	1.792e-06
94	92669720	1.583e-06
95	104651419	1.625e-06
96	118114304	1.583e-06
97	133230930	1.667e-06
98	150198136	3.334e-06
99	169229875	1.709e-06
100	190569292	1.791e-06
101	214481126	1.917e-06
102	241265379	1.75e-06
103	271248950	1.833e-06
104	304801365	1.75e-06
105	342325709	1.791e-06
106	384276336	1.708e-06
107	431149389	1.875e-06
108	483502844	1.834e-06
109	541946240	1.708e-06
110	607163746	1.917e-06
111	679903203	1.875e-06
112	761002156	1.958e-06
113	851376628	1.875e-06
114	952050665	1.917e-06
115	1064144451	1.917e-06
116	1188908248	1.833e-06
117	1327710076	1.75e-06
118	1482074143	1.917e-06
119	1653668665	2.041e-06
120	1844349560	2.042e-06
121	2056148051	1.959e-06
122	2291320912	1.958e-06
123	2552338241	1.833e-06
124	2841940500	1.75e-06
125	3163127352	1.834e-06
126	3519222692	1.792e-06
127	3913864295	1.958e-06
128	4351078600	1.916e-06
129	4835271870	2.042e-06
130	5371315400	1.917e-06
131	5964539504	1.916e-06
132	6620830889	1.917e-06
133	7346629512	1.875e-06
134	8149040695	1.917e-06
135	9035836076	1.917e-06
136	10015581680	1.916e-06
137	11097645016	1.875e-06
138	12292341831	1.833e-06
139	13610949895	1.875e-06
140	15065878135	1.959e-06
141	16670689208	1.916e-06
142	18440293320	1.917e-06
143	20390982757	1.833e-06
144	22540654445	1.791e-06
145	24908858009	1.792e-06
146	27517052599	1.875e-06
147	30388671978	1.875e-06
148	33549419497	2e-06
149	37027355200	2e-06
150	40853235313	2.083e-06
151	45060624582	2.125e-06
152	49686288421	2.25e-06
153	54770336324	2.167e-06
154	60356673280	2.083e-06
155	66493182097	2e-06
156	73232243759	2.125e-06
157	80630964769	2.208e-06
158	88751778802	2e-06
159	97662728555	2.125e-06
160	107438159466	2.041e-06
161	118159068427	2e-06
162	129913904637	1.875e-06
163	142798995930	2e-06
164	156919475295	1.958e-06
165	172389800255	2.125e-06
166	189334822579	2.042e-06
167	207890420102	1.958e-06
168	228204732751	2e-06
169	250438925115	2e-06
170	274768617130	1.959e-06
171	301384802048	2e-06
172	330495499613	2.042e-06
173	362326859895	1.875e-06
174	397125074750	1.958e-06
175	435157697830	2.083e-06
176	476715857290	2.084e-06
177	522115831195	2.125e-06
178	571701605655	2.208e-06
179	625846753120	2.042e-06
180	684957390936	2.208e-06
181	749474411781	2.292e-06
182	819876908323	2.375e-06
183	896684817527	2.333e-06
184	980462880430	2.167e-06
185	1071823774337	2.042e-06
186	1171432692373	2.25e-06
187	1280011042268	2.208e-06
188	1398341745571	2.75e-06
189	1527273599625	2.417e-06
190	1667727404093	2.375e-06
191	1820701100652	2.416e-06
192	1987276856363	2.334e-06
193	2168627105469	2.416e-06
194	2366022741845	2.458e-06
195	2580840212973	2.25e-06
196	2814570987591	2.25e-06
197	3068829878530	2.292e-06
198	3345365983698	5.583e-06
199	3646072432125	2.292e-06
200	3972999029388	2.416e-06
201	4328363658647	2.416e-06
202	4714566886083	2.292e-06
203	5134205287973	2.417e-06
204	5590088317495	2.334e-06
205	6085253859260	2.416e-06
206	6622987708040	2.541e-06
207	7206841706490	2.333e-06
208	7840656226137	2.209e-06
209	8528581302375	2.291e-06
210	9275102575355	2.208e-06
211	10085065885767	2.5e-06
212	10963707205259	2.5e-06
213	11916681236278	2.542e-06
214	12950095925895	2.458e-06
215	14070545699287	2.5e-06
216	15285151248481	2.5e-06
217	16601598107914	2.5e-06
218	18028182516671	2.583e-06
219	19573856161145	2.25e-06
220	21248279009367	2.334e-06
221	23061871173849	2.458e-06
222	25025873760111	2.291e-06
223	27152408925615	2.458e-06
224	29454549941750	2.458e-06
225	31946390696157	2.459e-06
226	34643126322519	2.417e-06
227	37561133582570	2.333e-06
228	40718063627362	2.333e-06
229	44132934884255	2.292e-06
230	47826239745920	2.25e-06
231	51820051838712	2.458e-06
232	56138148670947	2.333e-06
233	60806135438329	2.334e-06
234	65851585970275	2.833e-06
235	71304185514919	2.75e-06
236	77195892663512	2.666e-06
237	83561103925871	2.625e-06
238	90436839668817	2.5e-06
239	97862933703585	2.375e-06
240	105882246722733	2.417e-06
241	114540884553038	2.541e-06
242	123888443077259	2.541e-06
243	133978259344888	2.542e-06
244	144867692496445	2.584e-06
245	156618412527946	2.459e-06
246	169296722391554	2.459e-06
247	182973889854026	2.625e-06
248	197726516681672	2.583e-06
249	213636919820625	2.833e-06
250	230793554364681	2.708e-06
251	249291451168559	2.625e-06
252	269232701252579	2.708e-06
253	290726957916112	2.459e-06
254	313891991306665	2.542e-06
255	338854264248680	2.625e-06
256	365749566870782	2.5e-06
257	394723676655357	2.541e-06
258	425933084409356	2.625e-06
259	459545750448675	2.75e-06
260	495741934760846	2.917e-06
261	534715062908609	2.875e-06
262	576672674947168	2.833e-06
263	621837416509615	2.708e-06
264	670448123060170	2.666e-06
265	722760953690372	2.625e-06
266	779050629562167	2.542e-06
267	839611730366814	2.625e-06
268	904760108316360	2.5e-06
269	974834369944625	2.833e-06
270	1050197489931117	2.792e-06
271	1131238503938606	2.625e-06
272	1218374349844333	2.875e-06
273	1312051800816215	2.625e-06
274	1412749565173450	2.792e-06
275	1520980492851175	2.625e-06
276	1637293969337171	2.5e-06
277	1762278433057269	2.667e-06
278	1896564103591584	2.666e-06
279	2040825852575075	2.542e-06
280	2195786311682516	2.667e-06
281	2362219145337711	2.584e-06
282	2540952590045698	2.708e-06
283	2732873183547535	2.542e-06
284	2938929793929555	2.583e-06
285	3160137867148997	2.625e-06
286	3397584011986773	2.833e-06
287	3652430836071053	2.917e-06
288	3925922161489422	2.916e-06
289	4219388528587095	2.875e-06
290	4534253126900886	2.875e-06
291	4872038056472084	2.917e-06
292	5234371069753672	2.708e-06
293	5622992691950605	2.834e-06
294	6039763882095515	2.708e-06
295	6486674127079088	2.709e-06
296	6965850144195831	2.834e-06
297	7479565078510584	2.708e-06
298	8030248384943040	2.625e-06
299	8620496275465025	2.75e-06
300	9253082936723602	2.75e-06
301	9930972392403501	2.709e-06
302	10657331232548839	2.916e-06
303	11435542077822104	2.75e-06
304	12269218019229465	2.833e-06
305	13162217895057704	2.875e-06
306	14118662665280005	2.875e-06
307	15142952738857194	2.916e-06
308	16239786535829663	2.667e-06
309	17414180133147295	2.791e-06
310	18671488299600364	2.792e-06
311	20017426762576945	2.709e-06
312	21458096037352891	2.834e-06
313	23000006655487337	2.875e-06
314	24650106150830490	2.959e-06
315	26415807633566326	2.708e-06
316	28305020340996003	2.708e-06
317	30326181989842964	2.708e-06
318	32488293351466654	2.709e-06
319	34800954869440830	2.791e-06
320	37274405776748077	2.709e-06
321	39919565526999991	2.75e-06
322	42748078035954696	2.875e-06
323	45772358543578028	2.958e-06
324	49005643635237875	3.083e-06
325	52462044228828641	3.125e-06
