n	partition(n)	runtime(n)	memory(n)
1494	1094030110989052198741424671895432081910	0.6020228862762451171875	258641680
1495	1130182509971758083662737515471154158801	0.7469480037689208984375	258999584
1496	1167517136251048459523457118438435734632	0.7413408756256103515625	259357856
1497	1206072248027988195015615498189010425646	0.6984920501708984375	259716248
1498	1245887328717627537181110407053143579875	0.610805988311767578125	260074888
1499	1287003125779035759903231323132670516000	0.69643402099609375	260433768
1500	1329461690763193888825263136701886891117	0.71625804901123046875	260792896
1501	1373306420616547671126845059808771245199	0.614057064056396484375	261152264
1502	1418582100279183135137313919163744611210	0.74913311004638671875	261511880
1503	1465334946617783561814630036179107930696	0.7157199382781982421875	261871744
1504	1513612653734759530017526259861629678205	0.6205580234527587890625	262231848
1505	1563464439696213993716384678301014319431	0.71619701385498046875	262592200
1506	1614941094722713228367155822930278965324	0.712017059326171875	262952792
1507	1668095030888183105149797247519563263487	0.7094910144805908203125	263313632
1508	1722980333373639710221714255936544610213	0.6264550685882568359375	263674712
1509	1779652813323895051112691937493275900640	0.7750818729400634765625	264036040
1510	1838170062356853750560836014387165897751	0.7231261730194091796875	264397608
1511	1898591508776536523215092101916644734126	0.63142490386962890625	264759424
1512	1960978475542532205781057345396110080746	0.719994068145751953125	265121608
1513	2025394240050193548750246784190116959083	0.724626064300537109375	265483912
1514	2091904095777554301862779830720186765825	0.6627929210662841796875	265846456
1515	2160575415856657801620130127396601613839	0.839373111724853515625	266209240
1516	2231477718628751807313395954393627156678	1.1793539524078369140625	266572272
