n	partition(n)	runtime(n)	memory(n)
163	142798995930	0.0009839534759521484375	947896
164	156919475295	0.000981807708740234375	956200
165	172389800255	0.0010011196136474609375	964504
166	189334822579	0.0009968280792236328125	972808
167	207890420102	0.0010111331939697265625	981112
168	228204732751	0.001087188720703125	989416
169	250438925115	0.001059055328369140625	997720
170	274768617130	0.0010700225830078125	1024008
171	301384802048	0.0010650157928466796875	1032312
172	330495499613	0.0011241436004638671875	1040616
173	362326859895	0.001121997833251953125	1048920
174	397125074750	0.001186847686767578125	1057224
175	435157697830	0.001284122467041015625	1065528
176	476715857290	0.001202106475830078125	1074640
177	522115831195	0.0011770725250244140625	1083752
178	571701605655	0.0011460781097412109375	1092864
179	625846753120	0.0011749267578125	1101976
180	684957390936	0.001226902008056640625	1111088
181	749474411781	0.001183032989501953125	1120200
182	819876908323	0.0012528896331787109375	1129312
183	896684817527	0.0012419223785400390625	1138424
184	980462880430	0.0012528896331787109375	1147536
185	1071823774337	0.0580589771270751953125	1156648
186	1171432692373	0.00140094757080078125	1165760
187	1280011042268	0.0012760162353515625	1174832
188	1398341745571	0.0013248920440673828125	1183904
189	1527273599625	0.00131702423095703125	1192976
190	1667727404093	0.0013599395751953125	1202048
191	1820701100652	0.0013520717620849609375	1211120
192	1987276856363	0.0013668537139892578125	1220192
193	2168627105469	0.001510143280029296875	1229264
194	2366022741845	0.0013511180877685546875	1238336
195	2580840212973	0.0013539791107177734375	1247408
196	2814570987591	0.00131988525390625	1256480
197	3068829878530	0.00129604339599609375	1265552
198	3345365983698	0.0012969970703125	1274624
199	3646072432125	0.0013029575347900390625	1283696
200	3972999029388	0.0013320446014404296875	1292768
201	4328363658647	0.0013139247894287109375	1301840
202	4714566886083	0.00133609771728515625	1310912
203	5134205287973	0.00135517120361328125	1319984
204	5590088317495	0.0013539791107177734375	1329056
205	6085253859260	0.0014059543609619140625	1338128
206	6622987708040	0.00140285491943359375	1347200
207	7206841706490	0.001377105712890625	1356272
208	7840656226137	0.0013949871063232421875	1365344
209	8528581302375	0.0013949871063232421875	1374416
210	9275102575355	0.001399993896484375	1384296
211	10085065885767	0.00144100189208984375	1394176
212	10963707205259	0.00144100189208984375	1404056
213	11916681236278	0.0014479160308837890625	1413936
214	12950095925895	0.0014591217041015625	1423816
215	14070545699287	0.0014688968658447265625	1433696
216	15285151248481	0.00150012969970703125	1443576
217	16601598107914	0.0017030239105224609375	1453456
218	18028182516671	0.0016078948974609375	1463336
219	19573856161145	0.0015499591827392578125	1473216
220	21248279009367	0.0528271198272705078125	1483096
221	23061871173849	0.0015919208526611328125	1492976
222	25025873760111	0.001736164093017578125	1502816
223	27152408925615	0.00166988372802734375	1512656
224	29454549941750	0.0016620159149169921875	1522496
225	31946390696157	0.001667022705078125	1532336
226	34643126322519	0.001618862152099609375	1542176
227	37561133582570	0.001593112945556640625	1552016
228	40718063627362	0.0016000270843505859375	1561856
229	44132934884255	0.00160884857177734375	1571696
230	47826239745920	0.0016281604766845703125	1581536
231	51820051838712	0.0016229152679443359375	1591376
232	56138148670947	0.00166797637939453125	1601216
233	60806135438329	0.001657009124755859375	1611056
234	65851585970275	0.001656055450439453125	1620896
235	71304185514919	0.001705169677734375	1630736
236	77195892663512	0.001718044281005859375	1640576
237	83561103925871	0.001698017120361328125	1650416
238	90436839668817	0.0017158985137939453125	1660256
239	97862933703585	0.0017130374908447265625	1670096
240	105882246722733	0.001739978790283203125	1679936
241	114540884553038	0.0017459392547607421875	1689776
242	123888443077259	0.001803874969482421875	1699616
243	133978259344888	0.00174808502197265625	1709456
244	144867692496445	0.001760005950927734375	1719296
245	156618412527946	0.001784801483154296875	1729136
246	169296722391554	0.001801013946533203125	1738976
247	182973889854026	0.001801013946533203125	1749624
248	197726516681672	0.0836961269378662109375	1760272
249	213636919820625	0.001985073089599609375	1770920
250	230793554364681	0.0019671916961669921875	1781568
251	249291451168559	0.0020239353179931640625	1792216
252	269232701252579	0.002048015594482421875	1802864
253	290726957916112	0.0020039081573486328125	1813512
254	313891991306665	0.0019471645355224609375	1824160
255	338854264248680	0.0021579265594482421875	1834808
256	365749566870782	0.002106189727783203125	1845456
257	394723676655357	0.001956939697265625	1856104
258	425933084409356	0.00191593170166015625	1866752
259	459545750448675	0.00191497802734375	1877400
260	495741934760846	0.001956939697265625	1888008
261	534715062908609	0.0019969940185546875	1898616
262	576672674947168	0.0019791126251220703125	1909224
263	621837416509615	0.0021231174468994140625	1919832
264	670448123060170	0.002090930938720703125	1930440
265	722760953690372	0.002131938934326171875	1941048
266	779050629562167	0.0020649433135986328125	1951656
267	839611730366814	0.00201702117919921875	1962264
268	904760108316360	0.002017974853515625	1972872
269	974834369944625	0.0020520687103271484375	1983480
270	1050197489931117	0.00210094451904296875	1994088
271	1131238503938606	0.002171039581298828125	2004696
272	1218374349844333	0.0804469585418701171875	2015304
273	1312051800816215	0.0021240711212158203125	2025912
274	1412749565173450	0.0023059844970703125	2036520
275	1520980492851175	0.0022709369659423828125	2047128
276	1637293969337171	0.0021789073944091796875	2057736
277	1762278433057269	0.0021607875823974609375	2068344
278	1896564103591584	0.0023591518402099609375	2078952
279	2040825852575075	0.002285003662109375	2089560
280	2195786311682516	0.0020771026611328125	2100168
281	2362219145337711	0.002235889434814453125	2110776
282	2540952590045698	0.00217914581298828125	2121384
283	2732873183547535	0.0021970272064208984375	2131992
284	2938929793929555	0.0021469593048095703125	2142600
285	3160137867148997	0.0022180080413818359375	2153208
286	3397584011986773	0.00224590301513671875	2163816
287	3652430836071053	0.0022017955780029296875	2175232
288	3925922161489422	0.0022599697113037109375	2186648
289	4219388528587095	0.00251102447509765625	2198064
290	4534253126900886	0.0023281574249267578125	2209480
291	4872038056472084	0.0023758411407470703125	2220896
292	5234371069753672	0.0022869110107421875	2232312
293	5622992691950605	0.002357006072998046875	2243728
294	6039763882095515	0.0481059551239013671875	2255144
295	6486674127079088	0.002480030059814453125	2266560
296	6965850144195831	0.00240421295166015625	2277976
297	7479565078510584	0.0025308132171630859375	2289392
298	8030248384943040	0.0023958683013916015625	2300808
299	8620496275465025	0.0022628307342529296875	2312224
300	9253082936723602	0.0022981166839599609375	2323640
301	9930972392403501	0.002275943756103515625	2335016
302	10657331232548839	0.0023629665374755859375	2346392
303	11435542077822104	0.0024030208587646484375	2357768
304	12269218019229465	0.0024158954620361328125	2369144
305	13162217895057704	0.0023448467254638671875	2380520
306	14118662665280005	0.0023391246795654296875	2391896
307	15142952738857194	0.0024120807647705078125	2403272
308	16239786535829663	0.0023620128631591796875	2414648
309	17414180133147295	0.0023860931396484375	2426024
310	18671488299600364	0.0024471282958984375	2437400
311	20017426762576945	0.0025730133056640625	2448776
312	21458096037352891	0.002481937408447265625	2460152
313	23000006655487337	0.047584056854248046875	2471528
314	24650106150830490	0.0027420520782470703125	2482904
315	26415807633566326	0.0026700496673583984375	2494280
316	28305020340996003	0.0025961399078369140625	2505656
317	30326181989842964	0.0025179386138916015625	2517032
318	32488293351466654	0.0025141239166259765625	2528408
319	34800954869440830	0.0025069713592529296875	2539784
320	37274405776748077	0.0027110576629638671875	2551160
321	39919565526999991	0.0025560855865478515625	2562536
322	42748078035954696	0.0025260448455810546875	2573912
323	45772358543578028	0.0025279521942138671875	2585288
324	49005643635237875	0.0025880336761474609375	2596664
325	52462044228828641	0.00257587432861328125	2608040
326	56156602112874289	0.0026099681854248046875	2619416
327	60105349839666544	0.002635955810546875	2630792
328	64325374609114550	0.0025990009307861328125	2642168
329	68834885946073850	0.0026099681854248046875	2653544
330	73653287861850339	0.0026290416717529296875	2665728
331	78801255302666615	0.048419952392578125	2677912
332	84300815636225119	0.00288486480712890625	2690096
333	90175434980549623	0.00298786163330078125	2702280
334	96450110192202760	0.003017902374267578125	2714464
335	103151466321735325	0.00273609161376953125	2726648
336	110307860425292772	0.0027120113372802734375	2738832
337	117949491546113972	0.0027449131011962890625	2751016
338	126108517833796355	0.0027348995208740234375	2763200
339	134819180623301520	0.0027620792388916015625	2775384
340	144117936527873832	0.0027959346771240234375	2787568
341	154043597379576030	0.0027730464935302734375	2799752
342	164637479165761044	0.0027828216552734375	2811936
343	175943559810422753	0.0027730464935302734375	2824120
344	188008647052292980	0.0028269290924072265625	2836304
345	200882556287683159	0.0028970241546630859375	2848448
346	214618299743286299	0.0030829906463623046875	2860592
347	229272286871217150	0.0498199462890625	2872736
348	244904537455382406	0.003593921661376953125	2884880
349	261578907351144125	0.0031960010528564453125	2897024
350	279363328483702152	0.0032279491424560546875	2909168
351	298330063062758076	0.0036470890045166015625	2921312
352	318555973788329084	0.0032799243927001953125	2933456
353	340122810048577428	0.0030119419097900390625	2945600
354	363117512048110005	0.0029881000518798828125	2957744
355	387632532919029223	0.003142833709716796875	2969888
356	413766180933342362	0.0030109882354736328125	2982032
357	441622981929358437	0.003118038177490234375	2994176
358	471314064268398780	0.0030648708343505859375	3006320
359	502957566506000020	0.00296497344970703125	3018464
360	536679070310691121	0.00302410125732421875	3030608
361	572612058898037559	0.00302600860595703125	3042752
362	610898403751884101	0.0031239986419677734375	3054896
363	651688879997206959	0.0511820316314697265625	3067040
364	695143713458946040	0.003263950347900390625	3079184
365	741433159884081684	0.00329113006591796875	3091328
366	790738119649411319	0.0031430721282958984375	3103472
367	843250788562528427	0.0031192302703857421875	3115616
368	899175348396088349	0.003180980682373046875	3127760
369	958728697912338045	0.00409221649169921875	3139904
370	1022141228367345362	0.003202915191650390625	3152048
371	1089657644424399782	0.0031549930572509765625	3164192
372	1161537834849962850	0.00314998626708984375	3176336
373	1238057794119125085	0.0033168792724609375	3188480
374	1319510599727473500	0.0033009052276611328125	3200624
375	1406207446561484054	0.00317287445068359375	3212768
376	1498478743590581081	0.003170013427734375	3225720
377	1596675274490756791	0.0494670867919921875	3238672
378	1701169427975813525	0.00352001190185546875	3251624
379	1812356499739472950	0.0037100315093994140625	3264576
380	1930656072350465812	0.0035798549652099609375	3277528
381	2056513475336633805	0.0033781528472900390625	3290480
382	2190401332423765131	0.0032939910888671875	3303432
383	2332821198543892336	0.003345966339111328125	3316384
384	2484305294265418180	0.003406047821044921875	3329336
385	2645418340688763701	0.0033519268035888671875	3342288
386	2816759503217942792	0.0033271312713623046875	3355240
387	2998964447736452194	0.0033380985260009765625	3368192
388	3192707518433532826	0.0033419132232666015625	3381144
389	3398704041358160275	0.0037670135498046875	3394096
390	3617712763867604423	0.003509044647216796875	3407048
391	3850538434667429186	0.0503289699554443359375	3420000
392	4098034535626594791	0.0037939548492431640625	3432912
393	4361106170762284114	0.003714084625244140625	3445824
394	4640713124699623515	0.0036919116973876953125	3458736
395	4937873096788191655	0.003779888153076171875	3471648
396	5253665124416975163	0.0034639835357666015625	3484560
397	5589233202595404488	0.003468036651611328125	3497472
398	5945790114707874597	0.0034649372100830078125	3510384
399	6324621482504294325	0.003632068634033203125	3523296
400	6727090051741041926	0.0035419464111328125	3536208
401	7154640222653942321	0.0035989284515380859375	3549120
402	7608802843339879269	0.0041220188140869140625	3562032
403	8091200276484465581	0.003787994384765625	3574944
404	8603551759348655060	0.0544440746307373046875	3587856
405	9147679068859117602	0.0039432048797607421875	3600768
406	9725512513742021729	0.0039360523223876953125	3613680
407	10339097267123947241	0.0038530826568603515625	3626608
408	10990600063775926994	0.0036947727203369140625	3639536
409	11682316277192317780	0.0039310455322265625	3652464
410	12416677403151190382	0.0036299228668212890625	3665392
411	13196258966925435702	0.0037338733673095703125	3678320
412	14023788883518847344	0.0036528110504150390625	3691248
413	14902156290309948968	0.0036919116973876953125	3704184
414	15834420884488187770	0.0036871433258056640625	3717120
415	16823822787139235544	0.003754138946533203125	3730056
416	17873792969689876004	0.003726959228515625	3743000
417	18987964267331664557	0.0503330230712890625	3756024
418	20170183018805933659	0.0040490627288818359375	3769056
419	21424521360255636320	0.0037319660186767578125	3782096
420	22755290216580025259	0.00375080108642578125	3795144
421	24167053021441363961	0.00376605987548828125	3808192
422	25664640213837714846	0.003841876983642578125	3821248
423	27253164546230421739	0.003816127777099609375	3834304
424	28938037257084798150	0.00384998321533203125	3847360
425	30724985147095051099	0.00383090972900390625	3861232
426	32620068617410232189	0.0038509368896484375	3875104
427	34629700713903575934	0.0038740634918212890625	3888976
428	36760667241831527309	0.00388813018798828125	3902848
429	39020148000237259665	0.0497510433197021484375	3916728
430	41415739207102358378	0.0041530132293701171875	3930608
431	43955477170518116534	0.003920078277587890625	3944488
432	46647863284229267991	0.0039169788360595703125	3958368
433	49501890409405150715	0.003962993621826171875	3972248
434	52527070729108240605	0.00393390655517578125	3986128
435	55733465144636286656	0.0039961338043212890625	4000008
436	59131714309169618645	0.0045111179351806640625	4013888
437	62733071376043079215	0.003983974456787109375	4027768
438	66549436566966297367	0.00403118133544921875	4041648
439	70593393646562135510	0.0041849613189697265625	4055536
440	74878248419470886233	0.05307292938232421875	4069424
441	79418069346443402240	0.0044710636138916015625	4083312
442	84227730407729499781	0.0045239925384521484375	4097160
443	89322956321353645667	0.0043239593505859375	4111008
444	94720370257893471820	0.00407505035400390625	4124856
445	100437544171752847604	0.00413608551025390625	4138704
446	106493051905239118581	0.0041091442108154296875	4152552
447	112906525199196103354	0.00411319732666015625	4166400
448	119698712782720205954	0.0041940212249755859375	4180248
449	126891542690981418000	0.004146099090576171875	4194096
450	134508188001572923840	0.0041790008544921875	4207944
451	142573136155347404229	0.0509259700775146484375	4221792
452	151112262071917313678	0.004700183868408203125	4235648
453	160152905244553715585	0.0045249462127685546875	4249504
454	169723951046458040965	0.00426006317138671875	4263360
455	179855916453958267598	0.0042819976806640625	4277216
456	190581040442651931034	0.0042550563812255859375	4291072
457	201933379285114688629	0.00428009033203125	4304928
458	213948907032733069132	0.0043261051177978515625	4318784
459	226665621435831345565	0.004292011260986328125	4332640
460	240123655613925192081	0.0043270587921142578125	4346496
461	254365395758574199975	0.004311084747314453125	4360352
462	269435605212954994471	0.05140209197998046875	4374208
463	285381555241961986287	0.0047810077667236328125	4388064
464	302253162872576636605	0.0046069622039794921875	4401920
465	320103136152993290544	0.0044231414794921875	4415776
466	338987127249525432549	0.0044081211090087890625	4429632
467	358963893768162876613	0.0044620037078857421875	4443488
468	380095468763120598477	0.0044000148773193359375	4457352
469	402447339861711475160	0.0045139789581298828125	4471216
470	426088638015652413417	0.0045130252838134765625	4485080
471	451092336355096099864	0.004497051239013671875	4498944
472	477535459708164115593	0.051516056060791015625	4512808
473	505499305314204629558	0.0050251483917236328125	4526672
474	535069675351607262125	0.0048439502716064453125	4540536
475	566337121865805599675	0.0045318603515625	4554400
476	599397204782301852926	0.004644870758056640625	4568264
477	634350763653787028583	0.0047588348388671875	4582944
478	671304203896731807232	0.0045540332794189453125	4597624
479	710369798236628238005	0.004600048065185546875	4612304
480	751666004194993125591	0.004603862762451171875	4626984
481	795317798414758232180	0.0046398639678955078125	4641664
482	841457028742823649455	0.05241298675537109375	4656344
483	890222784951928088294	0.0052468776702880859375	4671024
484	941761789114997698055	0.004809856414794921875	4685704
485	996228806608573411012	0.00465297698974609375	4700384
486	1053787078862455346513	0.00477886199951171875	4715064
487	1114608778936426484248	0.004703044891357421875	4729752
488	1178875491155735802646	0.00477313995361328125	4744440
489	1246778716001272919665	0.0047199726104736328125	4759128
490	1318520401612270233223	0.004765987396240234375	4773816
491	1394313503224447816939	0.0048029422760009765625	4788504
492	1474382572040363953132	0.0526568889617919921875	4803192
493	1558964374994977806173	0.0051119327545166015625	4817880
494	1648308547066172438760	0.0048580169677734375	4832568
495	1742678277747760981187	0.0048029422760009765625	4847216
496	1842351033503159891466	0.0048930644989013671875	4861864
497	1947619317987658064007	0.0048649311065673828125	4876512
498	2058791472042884901563	0.0049479007720947265625	4891160
499	2176192515439287461625	0.004848003387451171875	4905808
500	2300165032574323995027	0.0049369335174560546875	4920456
501	2431070104309287327876	0.0523741245269775390625	4935104
502	2569288288377098289281	0.0055201053619384765625	4949752
503	2715220650772245313220	0.0052330493927001953125	4964400
504	2869289850802400662045	0.0050280094146728515625	4979048
505	3031941282464413132742	0.0049788951873779296875	4993696
506	3203644275096202070012	0.0050258636474609375	5008344
507	3384893356244349844341	0.0050499439239501953125	5022992
508	3576209579998154653671	0.0050079822540283203125	5037640
509	3778141924035171537110	0.0050790309906005859375	5052296
510	3991268758958164118300	0.0522811412811279296875	5066952
511	4216199393504640098482	0.0055677890777587890625	5081608
512	4453575699570940947378	0.0056030750274658203125	5096264
513	4704073821002175842062	0.00524997711181640625	5110920
514	4968405970488126319775	0.0054481029510498046875	5125576
515	5247322318923878793976	0.00518703460693359375	5140232
516	5541612982013113936133	0.005114078521728515625	5154888
517	5852110108921301661040	0.005156993865966796875	5169544
518	6179690078238084808000	0.0052039623260498046875	5184200
519	6525275806549652788115	0.0534470081329345703125	5198856
520	6889839175409542385648	0.005833148956298828125	5213512
521	7274403582551733377346	0.0055999755859375	5228168
522	7680046623716094332553	0.0052320957183837890625	5242824
523	8107902911527474124146	0.0052700042724609375	5257480
524	8559167038437716736150	0.005239009857177734375	5272136
525	9035096690829005915201	0.0053250789642333984375	5286792
526	9537015921990240021538	0.0054900646209716796875	5301448
527	10066318591787500106586	0.0054280757904052734375	5316104
528	10624471981512075020731	0.0535449981689453125	5330760
529	11213020592521695111580	0.0058920383453369140625	5345416
530	11833590138006300416410	0.0056340694427490234375	5360072
531	12487891737367521803652	0.0053970813751220703125	5374728
532	13177726323474524612308	0.0053689479827880859375	5390200
533	13904989273245567335012	0.0054299831390380859375	5405672
534	14671675272840783232475	0.0055167675018310546875	5421152
535	15479883428970761068959	0.0053770542144775390625	5436632
536	16331822638729701493803	0.0534889698028564453125	5452112
537	17229817230617210720599	0.006161212921142578125	5467592
538	18176312890390861435034	0.0059490203857421875	5483072
539	19173882885687454484110	0.0056469440460205078125	5498552
540	20225234604409151266221	0.0055129528045654296875	5514032
541	21333216422211708570598	0.0054738521575927734375	5529512
542	22500824915577356165493	0.0056359767913818359375	5544992
543	23731212437346370138355	0.0056040287017822265625	5560472
544	25027695072821279146420	0.0061371326446533203125	5575952
545	26393760995005382968154	0.056066036224365234375	5591432
546	27833079238879849385687	0.0062620639801025390625	5606912
547	29349508915133986374841	0.005813121795654296875	5622392
548	30947108885217475101876	0.0056450366973876953125	5637872
549	32630147920163234060900	0.006011962890625	5653352
550	34403115367205050943160	0.0056641101837158203125	5668832
551	36270732348871285128752	0.0056760311126708984375	5684272
552	38237963520943177237554	0.0058510303497314453125	5699712
553	40310029416409244587122	0.053836822509765625	5715152
554	42492419404397720872600	0.0059988498687744140625	5730592
555	44790905293907018009131	0.0057117938995361328125	5746032
556	47211555614160398040338	0.005813121795654296875	5761472
557	49760750604354432757376	0.0057179927825927734375	5776912
558	52445197947746313627407	0.0057830810546875	5792352
559	55271949286085137715955	0.005778789520263671875	5807792
560	58248417552751868050007	0.00578594207763671875	5823232
561	61382395164161775318496	0.0540139675140380859375	5838672
562	64682073111542943380454	0.0063431262969970703125	5854120
563	68156060996536236172174	0.0058639049530029296875	5869568
564	71813408056839596203570	0.0058310031890869140625	5885016
565	75663625229609055443637	0.0058879852294921875	5900464
566	79716708303343130521599	0.0058629512786865234375	5915912
567	83983162210640880002321	0.005940914154052734375	5931360
568	88474026517495817981253	0.005897998809814453125	5946808
569	93200902166643654187580	0.0538651943206787109375	5962256
570	98175979536033971312388	0.0061199665069580078125	5977704
571	103412067875563710992446	0.0059778690338134765625	5993152
572	108922626189067392956037	0.0060279369354248046875	6008600
573	114721795630860408658491	0.0060141086578369140625	6024048
574	120824433490320564237125	0.00601291656494140625	6039496
575	127246148840551966562301	0.0060908794403076171875	6054944
576	134003339931725153597473	0.055179119110107421875	6070392
577	141113233412529912746558	0.006802082061767578125	6085840
578	148593925468119890197615	0.0065071582794189453125	6101288
579	156464424966082817448060	0.006122112274169921875	6186720
580	164744698707340387584240	0.006227016448974609375	6202168
581	173455718882380096095248	0.0063629150390625	6217616
582	182619512839056823919887	0.0062160491943359375	6233064
583	192259215272078129526277	0.0063331127166748046875	6248512
584	202399122950629095580175	0.055140018463134765625	6263960
585	213064752104884207160129	0.006414890289306640625	6279408
586	224282898599046831034631	0.00654697418212890625	6294856
587	236081701023305130945921	0.0062310695648193359375	6310304
588	248490706844586261413858	0.006268024444580078125	6325752
589	261540941761240642265710	0.006477832794189453125	6341200
590	275264982414934173206642	0.0062959194183349609375	6357464
591	289697032618827122974972	0.0550611019134521484375	6373728
592	304873003269975366031783	0.0068340301513671875	6389992
593	320830596120295386610807	0.0064489841461181640625	6406264
594	337609391590065169560935	0.0063688755035400390625	6422536
595	355250940815002702558187	0.006330966949462890625	6438808
596	373798862128436852709430	0.006429195404052734375	6455080
597	393298942187883251157044	0.006381988525390625	6471352
598	413799241966727832978027	0.0542771816253662109375	6487624
599	435350207840317348270000	0.0070888996124267578125	6503896
600	458004788008144308553622	0.00650310516357421875	6520168
601	481818554503286362923739	0.0064589977264404296875	6536440
602	506849831053734861481872	0.006477832794189453125	6552712
603	533159827070679866278987	0.006474018096923828125	6568984
604	560812778053476538349420	0.0065100193023681640625	6585256
605	589876092712502332463864	0.0546119213104248046875	6601528
606	620420507127059714307352	0.007321834564208984375	6617800
607	652520246268116112057164	0.0073421001434326171875	6634072
608	686253193233019826880477	0.00663280487060546875	6650344
609	721701066553229757379480	0.0066359043121337890625	6666616
610	758949605954969709105721	0.0068531036376953125	6682848
611	798088766967999186006767	0.0066859722137451171875	6699080
