n	partition(n)	runtime
209	8528581302375	0.000245916
210	9275102575355	0.000248209
211	10085065885767	0.00025125
212	10963707205259	0.000255708
213	11916681236278	0.000255667
214	12950095925895	0.000258125
215	14070545699287	0.000260416
216	15285151248481	0.000262916
217	16601598107914	0.000265166
218	18028182516671	0.000272209
219	19573856161145	0.000282
220	21248279009367	0.000282416
221	23061871173849	0.000273917
222	25025873760111	0.0002765
223	27152408925615	0.000279292
224	29454549941750	0.000281917
225	31946390696157	0.000286708
226	34643126322519	0.000289333
227	37561133582570	0.000290458
228	40718063627362	0.000295792
229	44132934884255	0.000294917
230	47826239745920	0.000297458
231	51820051838712	0.000300125
232	56138148670947	0.00030275
233	60806135438329	0.000305292
234	65851585970275	0.000307583
235	71304185514919	0.000310667
236	77195892663512	0.000312959
237	83561103925871	0.00029425
238	90436839668817	0.000272042
239	97862933703585	0.0002745
240	105882246722733	0.000277083
241	114540884553038	0.00027875
242	123888443077259	0.000280833
243	133978259344888	0.000283625
244	144867692496445	0.000285708
245	156618412527946	0.000288167
246	169296722391554	0.000289917
247	182973889854026	0.000292083
248	197726516681672	0.000294417
249	213636919820625	0.000296916
250	230793554364681	0.000299167
251	249291451168559	0.000301792
252	269232701252579	0.00030425
253	290726957916112	0.000309667
254	313891991306665	0.00030875
255	338854264248680	0.00031425
256	365749566870782	0.000317792
257	394723676655357	0.000318708
258	425933084409356	0.00031825
259	459545750448675	0.000320625
260	495741934760846	0.000325833
261	534715062908609	0.000325541
262	576672674947168	0.000328042
263	621837416509615	0.000333292
264	670448123060170	0.000333084
265	722760953690372	0.000335458
266	779050629562167	0.000340584
267	839611730366814	0.000340334
268	904760108316360	0.000342917
269	974834369944625	0.000329083
270	1050197489931117	0.000301833
271	1131238503938606	0.000304417
272	1218374349844333	0.000310792
273	1312051800816215	0.000316791
274	1412749565173450	0.000322
275	1520980492851175	0.00031575
276	1637293969337171	0.000315375
277	1762278433057269	0.000317584
278	1896564103591584	0.00031975
279	2040825852575075	0.000321916
280	2195786311682516	0.00032425
281	2362219145337711	0.000326625
282	2540952590045698	0.000328834
283	2732873183547535	0.000330917
284	2938929793929555	0.0003335
285	3160137867148997	0.000335833
286	3397584011986773	0.000365209
287	3652430836071053	0.00034325
288	3925922161489422	0.000342791
289	4219388528587095	0.000345125
290	4534253126900886	0.0003475
291	4872038056472084	0.000349792
292	5234371069753672	0.000352209
293	5622992691950605	0.000357459
294	6039763882095515	0.000367208
295	6486674127079088	0.000359667
296	6965850144195831	0.000361833
297	7479565078510584	0.000364291
298	8030248384943040	0.000366667
299	8620496275465025	0.000369125
300	9253082936723602	0.000371459
301	9930972392403501	0.000379959
302	10657331232548839	0.000397459
303	11435542077822104	0.000378958
304	12269218019229465	0.000348167
305	13162217895057704	0.000341792
306	14118662665280005	0.000341167
307	15142952738857194	0.000343375
308	16239786535829663	0.000348292
309	17414180133147295	0.000350583
310	18671488299600364	0.000349959
311	20017426762576945	0.000352417
312	21458096037352891	0.000354417
313	23000006655487337	0.000356792
314	24650106150830490	0.000358791
315	26415807633566326	0.000365042
316	28305020340996003	0.000365667
317	30326181989842964	0.000366541
318	32488293351466654	0.000370666
319	34800954869440830	0.000370292
320	37274405776748077	0.000391166
321	39919565526999991	0.000377416
322	42748078035954696	0.000377
323	45772358543578028	0.000379375
324	49005643635237875	0.00038175
325	52462044228828641	0.000380542
326	56156602112874289	0.000346125
327	60105349839666544	0.000348208
328	64325374609114550	0.000350375
329	68834885946073850	0.000355584
330	73653287861850339	0.000354708
331	78801255302666615	0.000356833
332	84300815636225119	0.000358833
333	90175434980549623	0.000360875
334	96450110192202760	0.000363125
335	103151466321735325	0.000365334
336	110307860425292772	0.000367417
337	117949491546113972	0.000372167
338	126108517833796355	0.000371458
339	134819180623301520	0.000373625
340	144117936527873832	0.000390417
341	154043597379576030	0.000378208
342	164637479165761044	0.000380209
343	175943559810422753	0.000382583
344	188008647052292980	0.000384875
345	200882556287683159	0.000387084
346	214618299743286299	0.00038925
347	229272286871217150	0.000415208
348	244904537455382406	0.000426333
349	261578907351144125	0.000416125
350	279363328483702152	0.00041275
351	298330063062758076	0.0004005
352	318555973788329084	0.000373666
353	340122810048577428	0.000370333
354	363117512048110005	0.000374958
355	387632532919029223	0.000374416
356	413766180933342362	0.000376458
357	441622981929358437	0.000381333
358	471314064268398780	0.000380833
359	502957566506000020	0.000382916
360	536679070310691121	0.000385125
361	572612058898037559	0.000394625
362	610898403751884101	0.000388958
363	651688879997206959	0.000391166
364	695143713458946040	0.000393375
365	741433159884081684	0.000395417
366	790738119649411319	0.000406625
367	843250788562528427	0.000388791
368	899175348396088349	0.000370083
369	958728697912338045	0.000375334
370	1022141228367345362	0.000374333
371	1089657644424399782	0.000376417
372	1161537834849962850	0.000378208
373	1238057794119125085	0.0003805
374	1319510599727473500	0.000384917
375	1406207446561484054	0.000384416
376	1498478743590581081	0.000386667
377	1596675274490756791	0.000391334
378	1701169427975813525	0.000390459
379	1812356499739472950	0.000392459
380	1930656072350465812	0.0003945
381	2056513475336633805	0.0003965
382	2190401332423765131	0.000398708
383	2332821198543892336	0.000416458
384	2484305294265418180	0.000403209
385	2645418340688763701	0.000404833
386	2816759503217942792	0.000406958
387	2998964447736452194	0.00040025
388	3192707518433532826	0.000384417
389	3398704041358160275	0.000386416
390	3617712763867604423	0.000388334
391	3850538434667429186	0.000390333
392	4098034535626594791	0.000392417
393	4361106170762284114	0.000394417
394	4640713124699623515	0.00039625
395	4937873096788191655	0.000398375
396	5253665124416975163	0.000400959
397	5589233202595404488	0.000402458
398	5945790114707874597	0.000404583
399	6324621482504294325	0.000406375
400	6727090051741041926	0.00040825
401	7154640222653942321	0.000410334
402	7608802843339879269	0.0004125
403	8091200276484465581	0.0004475
404	8603551759348655060	0.000426292
405	9147679068859117602	0.000429958
406	9725512513742021729	0.000433292
407	10339097267123947241	0.000427292
408	10990600063775926994	0.000427375
409	11682316277192317780	0.000425917
410	12416677403151190382	0.000428625
411	13196258966925435702	0.000424458
412	14023788883518847344	0.000401375
413	14902156290309948968	0.000403417
414	15834420884488187770	0.000405417
415	16823822787139235544	0.000407291
416	17873792969689876004	0.000411875
