n	partition(n)	runtime
132	6620830889	2.042e-06
133	7346629512	1.917e-06
134	8149040695	1.958e-06
135	9035836076	2e-06
136	10015581680	2.167e-06
137	11097645016	2.125e-06
138	12292341831	1.917e-06
139	13610949895	1.875e-06
140	15065878135	1.75e-06
141	16670689208	1.791e-06
142	18440293320	1.875e-06
143	20390982757	2.125e-06
144	22540654445	1.959e-06
145	24908858009	1.875e-06
146	27517052599	1.958e-06
147	30388671978	2e-06
148	33549419497	2.042e-06
149	37027355200	2.167e-06
150	40853235313	2.041e-06
151	45060624582	2e-06
152	49686288421	2e-06
153	54770336324	2e-06
154	60356673280	1.875e-06
155	66493182097	1.834e-06
156	73232243759	2.208e-06
157	80630964769	2.041e-06
158	88751778802	2.084e-06
159	97662728555	2.208e-06
160	107438159466	2.167e-06
161	118159068427	2.334e-06
162	129913904637	2e-06
163	142798995930	2e-06
164	156919475295	2.167e-06
165	172389800255	2.125e-06
166	189334822579	2.167e-06
167	207890420102	2.083e-06
168	228204732751	2.042e-06
169	250438925115	2.125e-06
170	274768617130	2.083e-06
171	301384802048	2.125e-06
172	330495499613	2.208e-06
173	362326859895	2.167e-06
174	397125074750	2.041e-06
175	435157697830	2.208e-06
176	476715857290	2.042e-06
177	522115831195	2.166e-06
178	571701605655	2.125e-06
179	625846753120	2.125e-06
180	684957390936	2.208e-06
181	749474411781	2.209e-06
182	819876908323	2.167e-06
183	896684817527	2.166e-06
184	980462880430	2.25e-06
185	1071823774337	2.125e-06
186	1171432692373	2.125e-06
187	1280011042268	2.25e-06
188	1398341745571	2.708e-06
189	1527273599625	2.459e-06
190	1667727404093	2.459e-06
191	1820701100652	2.458e-06
192	1987276856363	2.459e-06
193	2168627105469	2.25e-06
194	2366022741845	2.25e-06
195	2580840212973	2.25e-06
196	2814570987591	2.291e-06
197	3068829878530	2.375e-06
198	3345365983698	5.417e-06
199	3646072432125	2.208e-06
200	3972999029388	2.292e-06
201	4328363658647	2.417e-06
202	4714566886083	2.375e-06
203	5134205287973	2.375e-06
204	5590088317495	2.291e-06
205	6085253859260	2.333e-06
206	6622987708040	2.333e-06
207	7206841706490	2.417e-06
208	7840656226137	2.208e-06
209	8528581302375	2.125e-06
210	9275102575355	2.292e-06
211	10085065885767	2.5e-06
212	10963707205259	2.375e-06
213	11916681236278	2.291e-06
214	12950095925895	2.292e-06
215	14070545699287	2.375e-06
216	15285151248481	2.75e-06
217	16601598107914	2.583e-06
218	18028182516671	2.458e-06
219	19573856161145	2.375e-06
220	21248279009367	2.542e-06
221	23061871173849	2.458e-06
222	25025873760111	2.458e-06
223	27152408925615	2.417e-06
224	29454549941750	2.416e-06
225	31946390696157	2.459e-06
226	34643126322519	2.458e-06
227	37561133582570	2.542e-06
228	40718063627362	2.416e-06
229	44132934884255	2.375e-06
230	47826239745920	2.459e-06
231	51820051838712	2.584e-06
232	56138148670947	2.541e-06
233	60806135438329	2.583e-06
234	65851585970275	2.583e-06
235	71304185514919	2.709e-06
236	77195892663512	2.5e-06
237	83561103925871	2.458e-06
238	90436839668817	2.458e-06
239	97862933703585	2.417e-06
240	105882246722733	2.541e-06
241	114540884553038	2.416e-06
242	123888443077259	2.417e-06
243	133978259344888	2.583e-06
244	144867692496445	2.625e-06
245	156618412527946	2.583e-06
246	169296722391554	2.541e-06
247	182973889854026	2.5e-06
248	197726516681672	2.667e-06
249	213636919820625	2.667e-06
250	230793554364681	2.625e-06
251	249291451168559	2.667e-06
252	269232701252579	2.708e-06
253	290726957916112	2.709e-06
254	313891991306665	2.5e-06
255	338854264248680	2.542e-06
256	365749566870782	2.667e-06
257	394723676655357	2.5e-06
258	425933084409356	2.625e-06
259	459545750448675	2.667e-06
260	495741934760846	2.583e-06
261	534715062908609	2.541e-06
262	576672674947168	4.042e-06
