n	partition(n)	runtime
214	12950095925895	0.000255083
215	14070545699287	0.000257375
216	15285151248481	0.000260041
217	16601598107914	0.000262083
218	18028182516671	0.000264625
219	19573856161145	0.000267
220	21248279009367	0.000269459
221	23061871173849	0.000271708
222	25025873760111	0.000276042
223	27152408925615	0.000276667
224	29454549941750	0.000278916
225	31946390696157	0.000281584
226	34643126322519	0.000284417
227	37561133582570	0.000286333
228	40718063627362	0.000288709
229	44132934884255	0.000291542
230	47826239745920	0.00029375
231	51820051838712	0.000296417
232	56138148670947	0.000298833
233	60806135438329	0.000324625
234	65851585970275	0.000269291
235	71304185514919	0.000282375
236	77195892663512	0.00027425
237	83561103925871	0.000266334
238	90436839668817	0.000269375
239	97862933703585	0.00027125
240	105882246722733	0.000273583
241	114540884553038	0.000275833
242	123888443077259	0.000277917
243	133978259344888	0.000280041
244	144867692496445	0.000282667
245	156618412527946	0.000285166
246	169296722391554	0.0002875
247	182973889854026	0.00029025
248	197726516681672	0.000292167
249	213636919820625	0.000294625
250	230793554364681	0.000296792
251	249291451168559	0.000299209
252	269232701252579	0.000301416
253	290726957916112	0.000306416
254	313891991306665	0.000307209
255	338854264248680	0.000308416
256	365749566870782	0.000310583
257	394723676655357	0.000312834
258	425933084409356	0.000315542
259	459545750448675	0.000317666
260	495741934760846	0.0003205
261	534715062908609	0.0003225
262	576672674947168	0.000324708
263	621837416509615	0.000327
264	670448123060170	0.000331084
265	722760953690372	0.000331917
266	779050629562167	0.000337
267	839611730366814	0.000304791
268	904760108316360	0.000294833
269	974834369944625	0.000296292
270	1050197489931117	0.0003
271	1131238503938606	0.000307541
272	1218374349844333	0.000306458
273	1312051800816215	0.000308167
274	1412749565173450	0.000309834
275	1520980492851175	0.000309375
276	1637293969337171	0.00031425
277	1762278433057269	0.000313666
278	1896564103591584	0.000316167
279	2040825852575075	0.00032825
280	2195786311682516	0.000331458
281	2362219145337711	0.000325541
282	2540952590045698	0.000325083
283	2732873183547535	0.00032725
284	2938929793929555	0.000329584
285	3160137867148997	0.000334708
286	3397584011986773	0.000334084
287	3652430836071053	0.000336333
288	3925922161489422	0.000338666
289	4219388528587095	0.000341042
290	4534253126900886	0.000343375
291	4872038056472084	0.000348417
292	5234371069753672	0.000348125
293	5622992691950605	0.0003505
294	6039763882095515	0.000352709
295	6486674127079088	0.000355084
296	6965850144195831	0.000357542
297	7479565078510584	0.000333709
298	8030248384943040	0.000320084
299	8620496275465025	0.000324875
300	9253082936723602	0.000342334
301	9930972392403501	0.0003265
302	10657331232548839	0.0003285
303	11435542077822104	0.000330709
304	12269218019229465	0.000332917
305	13162217895057704	0.000335
306	14118662665280005	0.000337083
307	15142952738857194	0.000348
308	16239786535829663	0.000356958
309	17414180133147295	0.000348958
310	18671488299600364	0.000363375
311	20017426762576945	0.000347958
312	21458096037352891	0.0003545
313	23000006655487337	0.000352292
314	24650106150830490	0.000357291
315	26415807633566326	0.000356875
316	28305020340996003	0.000359209
317	30326181989842964	0.000361375
318	32488293351466654	0.000363625
319	34800954869440830	0.000366083
320	37274405776748077	0.00036825
321	39919565526999991	0.000370416
322	42748078035954696	0.000372625
